NYK,NOP
84,77
BOS,PHO
73,83
SAS,POR
95,91
GSW,SAC
81,72
CHI,TOR
79,73
BRK,UTA
91,83
HOU,GSW
83,83
DEN,MIL
86,74
MIA,OKC
87,58
NOP,CHA
79,65
DEN,CHI
77,94
ATL,DET
93,102
BOS,LAL
80,87
LAC,MEM
69,89
NYK,ORL
105,107
DAL,PHI
105,89
SAS,PHO
60,89
UTA,POR
80,85
CLE,TOR
70,87
NYK,ATL
88,80
MEM,CHA
72,68
DAL,DET
96,82
BRK,GSW
66,80
IND,MIL
81,79
BOS,SAC
74,81
MIN,UTA
97,77
NOP,WAS
76,75
WAS,CLE
90,62
SAC,DEN
79,81
BRK,LAL
84,85
CHI,MIA
64,83
LAC,OKC
97,98
HOU,PHO
87,95
MIN,POR
83,93
ORL,TOR
77,77
GSW,DET
89,84
LAC,NOP
102,81
DAL,NYK
97,94
MIL,PHI
108,94
BOS,UTA
78,94
CHI,ATL
82,90
TOR,CLE
80,73
POR,DEN
68,78
LAL,IND
86,99
MIN,PHO
89,87
HOU,SAC
93,77
ORL,WAS
94,94
ATL,BOS
85,94
GSW,CHI
65,79
NOP,DAL
81,92
HOU,LAC
76,90
LAL,MEM
91,94
CLE,OKC
91,91
ORL,PHI
87,69
BRK,POR
68,105
DET,SAS
95,97
PHO,UTA
68,93
BRK,DEN
88,66
MIL,IND
88,82
NYK,MIA
66,96
WAS,TOR
107,102
UTA,CLE
70,90
CHI,DAL
81,79
SAC,LAL
99,115
GSW,NYK
102,82
MEM,OKC
92,86
NOP,PHO
89,90
CHA,SAS
69,77
IND,BOS
83,83
DET,HOU
94,95
NOP,LAC
59,85
CLE,MEM
85,97
ORL,MIA
76,92
BRK,MIL
84,73
WAS,PHI
102,81
DEN,POR
73,79
MIN,SAC
79,81
NYK,CHI
75,86
UTA,IND
78,73
CHA,OKC
68,90
PHI,ORL
69,71
ATL,PHO
102,103
DAL,SAS
97,88
GSW,TOR
82,84
CHI,BRK
64,75
MIN,DEN
80,112
NYK,DET
74,74
CHA,MIA
93,108
UTA,MIL
68,92
LAL,POR
94,95
NOP,SAC
70,65
MEM,WAS
92,87
SAS,CLE
100,86
MIA,HOU
83,88
GSW,IND
84,75
NOP,LAL
99,102
PHI,OKC
74,93
LAC,PHO
88,85
GSW,BOS
97,67
MEM,BRK
74,91
IND,CHA
72,95
DAL,DEN
101,85
CHI,DET
91,80
