DET,DAL
47,50
POR,GSW
34,48
SAS,MIA
44,51
ORL,NOP
39,42
LAL,NYK
50,54
DEN,SAC
52,46
TOR,BRK
46,48
MIN,CHI
39,40
LAC,MIL
57,38
ATL,OKC
55,56
PHO,PHI
52,48
SAC,UTA
42,39
NOP,CLE
43,39
ORL,DET
40,45
WAS,GSW
44,37
SAS,HOU
41,38
IND,LAL
47,42
BOS,NYK
38,54
MEM,POR
49,34
PHI,BOS
44,39
HOU,DAL
50,45
CHA,DEN
38,48
WAS,LAC
48,42
OKC,MIA
57,40
PHO,MIL
54,45
NOP,MIN
31,37
MEM,SAC
45,43
CHI,SAS
41,38
ORL,TOR
34,51
LAC,GSW
39,51
PHO,IND
47,39
CLE,NYK
39,55
OKC,BRK
54,46
SAC,DAL
45,40
TOR,DEN
45,44
CHA,LAL
48,42
MEM,MIN
42,45
MIL,ORL
49,50
ATL,PHI
53,38
GSW,UTA
43,38
MIN,ATL
43,52
PHI,DET
43,48
CLE,HOU
46,48
BRK,IND
41,34
UTA,LAC
39,40
MIL,MEM
39,44
CHI,NOP
30,42
MIA,NYK
49,44
CHA,PHO
41,46
TOR,POR
46,43
SAC,SAS
39,42
OKC,WAS
35,49
ORL,BOS
38,45
PHI,BRK
45,42
CLE,DAL
45,56
LAC,DEN
48,45
ORL,IND
40,46
DET,MIA
40,46
NYK,MIL
49,47
SAS,NOP
43,42
MEM,OKC
34,38
CHI,SAC
26,38
TOR,UTA
43,35
POR,WAS
42,44
IND,ATL
39,40
CHA,GSW
42,33
LAL,MIN
43,45
CHI,PHO
41,39
LAL,CLE
60,43
MIL,DEN
43,49
PHO,HOU
50,50
MIA,LAC
54,44
DAL,MEM
50,43
ATL,NOP
52,45
POR,NYK
38,40
MIN,OKC
43,54
DET,ORL
45,50
BOS,PHI
49,49
TOR,SAC
46,36
SAS,WAS
57,49
SAS,BRK
36,50
CHI,GSW
36,51
SAC,BOS
36,49
UTA,DAL
43,48
BRK,DET
44,52
POR,IND
52,47
